Date,Longitude,Latitude,MP
2010-02-01,-65.5,27.5,-3.045757491
1999-02-01,-68.5,28,-3.045757491
2009-10-01,-59,22.5,-3.045757491
2012-09-01,130,-12.5,-3.045757491
2009-07-01,-69.5,42,-3.045757491
2010-11-01,-60,13.5,-3.045757428
2010-03-01,-59,18.5,-3.045727647
2011-02-01,-77.5,28.5,-3.045472884
2011-10-01,-137.5,11.5,-3.04519553
2006-04-01,-158.5,12.5,-3.045113278
2001-04-01,-73.5,30.5,-3.044421196
2000-11-01,-62,16,-3.04442052
2001-03-01,-70,20.5,-3.044394642
2005-05-01,-64,19,-3.044371352
2006-12-01,-68,18.5,-3.043996994
2006-11-01,-109.5,22.5,-3.043358048
2008-12-01,-80,18.5,-3.043093074
2009-08-01,-71,39.5,-3.042981141
2011-04-01,-118.5,-26,-3.042921369
2012-11-01,-62,17.5,-3.041724973
2011-10-01,-135,11,-3.041509976
2011-10-01,-129.5,17,-3.041071327
2012-03-01,-82.5,20,-3.040207807
2011-04-01,-71.5,20,-3.039238447
2008-12-01,-113,13.5,-3.037860357
2011-04-01,-68,20.5,-3.037571527
2005-03-01,-157,18,-3.037511008
2005-11-01,-109.5,21.5,-3.037076532
2001-04-01,-78,30,-3.034016943
2002-03-01,-155.5,20.5,-3.033148514
2011-10-01,-132,10.5,-3.032498424
2001-10-01,-106,19,-3.029801177
2012-12-01,-151.5,-9.5,-3.02926288
2009-05-01,-78,26,-3.028215776
2011-04-01,-65,18.5,-3.02692029
2010-03-01,-58.5,21.5,-3.026895414
2011-08-01,-122.5,37,-3.024132823
2002-02-01,-79.5,25.5,-3.024088482
2004-08-01,-71,41,-3.024088482
2005-09-01,-70,43,-3.024088482
2006-07-01,-70,43,-3.024088482
2006-07-01,-69.5,43,-3.024088482
2000-08-01,-69,43,-3.024088482
2006-10-01,-61,18,-3.024088482
2005-07-01,-62,44,-3.024088482
2001-06-01,-70,40,-3.024088482
2004-12-01,-69,13.5,-3.024088482
2007-10-01,-69,40,-3.024088482
2007-04-01,-77.5,28.5,-3.024088482
2004-06-01,-71,39.5,-3.024088482
2006-10-01,-68.5,40,-3.024088482
2002-07-01,-68,40.5,-3.024088482
2001-06-01,-67.5,40.5,-3.024088482
2001-06-01,-67.5,40,-3.024088482
2002-09-01,-66.5,41,-3.024088482
2002-09-01,-67.5,44,-3.024088482
2002-08-01,-69,43,-3.024088482
2001-02-01,-74,21,-3.024088482
2000-07-01,-69.5,42.5,-3.024088482
2004-08-01,-69,40.5,-3.024088482
2000-11-01,-60.5,12.5,-3.024088482
2000-07-01,-61.5,42.5,-3.024088482
2001-12-01,-61.5,14.5,-3.024088482
2003-02-01,-78.5,26,-3.024088482
2004-12-01,-67,13,-3.024088482
2001-02-01,-74.5,25,-3.024088481
2000-02-01,-75,25,-3.024088474
2007-09-01,-66,42,-3.024088468
2003-12-01,-65,18.5,-3.024088462
2000-04-01,-61,16,-3.024088371
2007-07-01,-70,42.5,-3.024088266
2005-02-01,-76,28,-3.02408786
2002-11-01,-61.5,13.5,-3.024087042
2000-12-01,-77,17,-3.024083456
2006-10-01,-58,35,-3.02408158
2006-07-01,-68.5,41,-3.02407873
2002-05-01,-68,32,-3.024060724
2001-05-01,-64,18.5,-3.024056339
2005-09-01,-70,40.5,-3.024038712
2001-08-01,-68.5,42,-3.023922733
2002-01-01,-83.5,24,-3.023188778
2002-04-01,-76.5,19,-3.023149032
2002-03-01,-72.5,20.5,-3.023117692
2001-05-01,-65,18.5,-3.022759082
2002-09-01,-69.5,40,-3.022656412
2000-12-01,-64.5,12.5,-3.022640111
2001-04-01,-78,29,-3.021866591
2006-03-01,-78,26,-3.021559493
2001-11-01,-59.5,15,-3.021528656
2000-12-01,-78,17.5,-3.020616687
2000-12-01,-75.5,17,-3.01990853
2005-08-01,-69.5,42,-3.01961147
2001-03-01,-86,18,-3.018827773
2000-12-01,-74,16,-3.018630109
2003-03-01,-82,16.5,-3.018522585
2003-12-01,-67,12,-3.017483721
2004-11-01,-64,16,-3.015143754
2007-02-01,-147.5,-14.5,-3.013819032
2008-12-01,-74.5,16.5,-3.013134357
2006-12-01,-69.5,20,-3.012467743
2006-08-01,-70.5,41,-3.010707166
2007-04-01,-66.5,32.5,-3.010226404
2001-04-01,-72,30.5,-3.009068079
2003-12-01,-79,17.5,-3.008863917
2007-03-01,-82,20,-3.007430988
2010-12-01,-156,-8.5,-3.007110482
2003-02-01,-74.5,21.5,-3.004599744
2006-08-01,-70,41,-3.002858644
2012-12-01,-150.5,-17,-3.001744164
2000-02-01,-79.5,25.5,-3.000718894
1999-03-01,-81,24.5,-3
1998-11-01,-59.5,12.5,-3
2011-11-01,-59,13.5,-3
1999-12-01,-62.5,11.5,-3
2011-11-01,-57.5,13,-3
2010-12-01,-81,18.5,-2.999990801
2009-08-01,-70.5,40,-2.999791715
2001-03-01,-82,17,-2.999586184
2006-10-01,-66.5,39.5,-2.998824363
2000-05-01,-62.5,17.5,-2.998132
2006-12-01,-70.5,20.5,-2.997219876
2008-12-01,-113,13,-2.996553146
2012-02-01,-142.5,-6.5,-2.995997863
2004-12-01,-119.5,8,-2.994850022
2011-12-01,-69.5,19.5,-2.993982792
2009-03-01,-144.5,4.5,-2.993492608
2010-02-01,-79.5,28,-2.993208739
2011-04-01,-72,20,-2.991833931
2012-10-01,-121.5,32,-2.991478042
2003-03-01,-140,-6.5,-2.990613657
2000-02-01,-81,24,-2.990204563
2011-04-01,-77.5,19,-2.989756185
2010-10-01,-132,15.5,-2.989689172
2006-12-01,-63,17,-2.989512965
2012-08-01,-69.5,42.5,-2.98940535
2006-08-01,-119,33.5,-2.988921858
