rivers,lat,lon, low, Mid, up
Coatzacoalcos,18.1,-94.4,16.98 ,46.67 ,94.01 
Loiza,18.4,-65.9,4.63 ,46.54 ,137.81 
Taan,22.9,120.3,18.95 ,46.40 ,89.96 
Tecolutla,20.5,-97,16.96 ,46.21 ,92.91 
Mahaweli Ganga,7.8,81.2,17.25 ,45.89 ,91.52 
Bandama,5.2,-5.2,26.15 ,45.77 ,73.71 
Daugava,57,24.1,10.35 ,45.26 ,102.60 
Snohomish,47.9,-122.2,4.39 ,44.73 ,133.63 
Cape Fear,33.9,-77.9,4.30 ,43.35 ,129.34 
Patuca,15.2,-84.3,23.29 ,43.25 ,73.49 
Nandujiang,20,110.3,17.51 ,42.79 ,82.83 
Guanhe,34.4,119.3,17.43 ,42.72 ,82.80 
Severn,51.5,-2.4,3.30 ,42.49 ,146.73 
Savannah,32.1,-80.9,4.14 ,42.47 ,126.62 
Keum,36,126.6,4.68 ,42.20 ,118.18 
Pamlico,35.5,-76.7,4.17 ,41.75 ,124.94 
Mamberamo,-2.3,138.3,23.36 ,41.62 ,68.41 
Tevere,41.9,12.5,5.72 ,41.54 ,108.87 
Padas,5.4,115.8,12.35 ,41.54 ,88.34 
Selangor,3.2,101.5,12.10 ,40.69 ,86.11 
Grande de Terraba,9.2,-83.3,12.63 ,39.81 ,83.58 
Severnaya Dvina,64.5,40.5,16.44 ,39.80 ,76.81 
Koca?ay,40,30,12.81 ,39.49 ,82.52 
Ribble,53.7,-2.9,3.03 ,38.71 ,131.95 
Tagum,7.6,125.8,18.70 ,38.60 ,69.88 
St. John,17.1,-61.8,3.78 ,38.58 ,115.89 
Anseoung,36.4,127.3,4.39 ,38.54 ,107.81 
Kouilou,-4.5,11.4,20.66 ,38.04 ,64.09 
Tano,5.1,-2,21.51 ,37.74 ,60.89 
Muvatupuzha,9.9,76.5,19.76 ,37.37 ,64.47 
Mogami,38.7,139.8,4.11 ,37.32 ,106.73 
Büyük Menderes,37.6,27.1,12.06 ,37.20 ,77.44 
Asi,36.1,35.9,12.14 ,36.79 ,76.72 
Fly,-8.4,143.8,20.67 ,36.78 ,60.27 
Rufiji,-7.9,39,19.08 ,36.41 ,63.10 
Trengganu,5.3,103.1,11.03 ,36.36 ,77.55 
Sekampung,-5.2,105.3,17.45 ,35.86 ,64.67 
Neretva,43,17.3,8.25 ,35.74 ,81.01 
Oueme,6.4,2.6,20.29 ,35.66 ,57.97 
Kinabatangan,5.6,118.4,10.44 ,34.93 ,74.03 
Tapti,21.2,72.6,18.34 ,34.85 ,60.00 
Ba,-17.5,147.1,17.00 ,34.76 ,62.37 
Santa Ana,33.7,-117.9,3.44 ,34.56 ,102.83 
