river_lat,river_lon,orig_lat_idx,orig_lon_idx,proj_lat_idx,proj_lon_idx,shift_grid,emission
8.8,76.7,44,38,44,39,1.0,24.19
-35.3,-72.7,22,0,22,0,0.0,23.72
2.8,-76.6,41,0,41,0,0.0,23.61
-49.3,-72.7,15,0,15,0,0.0,23.59
13.3,-87.3,46,0,43,1,3.1622776601683795,23.52
-7.5,109.1,36,55,37,55,1.0,23.4
17.1,-61.8,48,0,43,1,5.0990195135927845,23.39
37.6,141.0,58,70,58,70,0.0,23.32
37.2,-76.8,58,0,66,1,8.06225774829855,23.32
17.6,120.6,48,60,49,60,1.0,23.3
-34.6,-58.3,22,0,22,0,0.0,23.27
9.0,-72.7,44,0,43,1,1.4142135623730951,23.18
6.4,1.7,43,1,43,1,0.0,23.14
14.5,-92.2,47,0,43,1,4.123105625617661,23.13
36.7,3.2,58,2,66,2,8.0,22.87
-5.2,120.0,37,60,37,60,0.0,22.86
19.2,104.0,49,52,49,53,1.0,22.74
11.5,122.4,45,61,45,61,0.0,22.63
41.1,19.6,60,10,68,5,9.433981132056603,22.62
9.353,76.414,44,38,44,39,1.0,22.32
5.0,-1.4,42,0,42,0,0.0,22.26
-6.8,106.8,36,53,36,53,0.0,22.09
19.1,-96.2,49,0,43,1,6.082762530298219,22.04
34.8,126.6,57,63,56,63,1.0,21.92
38.4,-76.7,58,0,66,1,8.06225774829855,21.78
3.0,-77.2,41,0,41,0,0.0,21.76
3.2,99.3,41,50,42,49,1.4142135623730951,21.71
0.6,36.9,40,18,39,20,2.23606797749979,21.54
11.2,75.8,45,38,45,37,1.0,21.24
10.1,-83.7,44,0,43,1,1.4142135623730951,21.22
55.0,-1.6,67,0,67,0,0.0,21.14
18.3,-71.3,49,0,43,1,6.082762530298219,20.99
61.7,163.0,70,81,69,82,1.4142135623730951,20.86
51.8,120.7,65,60,59,60,6.0,20.85
10.2,-85.3,45,0,43,1,2.23606797749979,20.65
5.6,100.5,42,50,42,49,1.0,20.48
-32.8,-71.5,23,0,23,0,0.0,20.18
22.3,72.6,51,36,50,34,2.23606797749979,19.72
5.2,-6.3,42,0,42,0,0.0,19.43
10.8,-85.8,45,0,43,1,2.23606797749979,19.41
5.2,-9.7,42,0,42,0,0.0,19.22
10.3,76.3,45,38,45,37,1.0,18.85
-11.3,-37.8,34,0,34,0,0.0,18.69
60.0,30.3,69,15,72,18,4.242640687119285,18.58
38.2,126.6,58,63,58,62,1.0,18.4
18.2,-90.3,48,0,43,1,5.0990195135927845,18.25
6.1,-59.2,43,0,43,1,1.0,18.25
12.0,75.4,45,38,45,37,1.0,18.17
25.6,-104.7,52,0,43,1,9.055385138137417,17.85
8.6,124.8,44,62,44,62,0.0,17.83
10.5,-68.7,45,0,43,1,2.23606797749979,17.74
-34.0,-71.7,23,0,23,0,0.0,17.59
21.3,92.7,50,46,50,45,1.0,17.56
23.6,-102.0,51,0,43,1,8.06225774829855,17.48
-5.1,12.4,37,6,37,5,1.0,17.31
-3.0,-44.0,38,0,38,0,0.0,17.18
8.4,-82.5,44,0,43,1,1.4142135623730951,17.17
0.8,100.7,40,50,40,51,1.0,17.01
10.4,-85.4,45,0,43,1,2.23606797749979,16.95
7.5,79.9,43,40,43,40,0.0,16.93
53.9,-1.1,66,0,67,0,1.0,16.92
36.8,137.3,58,69,57,69,1.0,16.4
34.5,133.6,57,67,56,67,1.0,16.4
20.7,10.5,50,5,43,1,8.06225774829855,16.09
40.1,-8.8,59,0,66,1,7.0710678118654755,16.01
20.216,-96.755,49,0,43,1,6.082762530298219,15.98
62.3,9.7,70,5,72,5,2.0,15.91
57.9,49.1,68,25,72,19,7.211102550927978,15.73
36.7,119.0,58,59,57,60,1.4142135623730951,15.7
40.7,19.7,60,10,68,5,9.433981132056603,15.68
23.3,120.4,51,60,51,60,0.0,15.59
14.3,-16.4,47,0,43,1,4.123105625617661,15.59
43.4,-6.1,61,0,66,1,5.0990195135927845,15.51
-5.1,119.2,37,60,37,60,0.0,15.15
-15.2,-39.1,32,0,32,0,0.0,15.12
-3.3,-79.4,38,0,38,0,0.0,15.11
15.5,-89.5,47,0,43,1,4.123105625617661,15.1
5.3,-77.1,42,0,42,0,0.0,15.09
20.0,-76.9,49,0,43,1,6.082762530298219,14.76
18.4,-66.5,49,0,43,1,6.082762530298219,14.64
24.6,120.8,52,60,53,60,1.0,14.64
-8.3,-35.0,35,0,35,0,0.0,14.63
-12.1,14.4,34,7,34,6,1.0,14.56
24.5,120.7,52,60,53,60,1.0,14.47
-18.9,47.5,30,24,30,24,0.0,14.47
53.3,-6.3,66,0,67,0,1.0,14.44
18.218,-94.518,48,0,43,1,5.0990195135927845,14.44
12.833,74.842,46,37,45,37,1.0,14.35
42.4,-124.4,60,0,66,1,6.082762530298219,14.33
36.9,3.3,58,2,66,2,8.0,14.3
43.8,125.5,61,63,61,65,2.0,14.22
9.3,-71.8,44,0,43,1,1.4142135623730951,14.02
23.6,120.4,51,60,51,60,0.0,13.96
-37.5,-72.2,21,0,21,0,0.0,13.83
10.2,-84.7,45,0,43,1,2.23606797749979,13.83
-41.6,-72.0,19,0,19,0,0.0,13.64
41.9,-8.8,60,0,66,1,6.082762530298219,13.54
-37.8,175.2,21,88,21,88,0.0,13.45
-30.0,30.2,25,15,24,15,1.0,13.44
41.2,121.3,60,61,59,61,1.0,13.37
-6.2,147.4,36,74,36,74,0.0,13.24
54.3,-2.2,66,0,67,0,1.0,13.24
-34.6,-58.4,22,0,22,0,0.0,13.2
-12.0,-77.0,34,0,34,0,0.0,13.19
-3.2,-45.2,38,0,38,0,0.0,13.15
12.3,-83.7,46,0,43,1,3.1622776601683795,13.14
40.9,20.2,60,10,68,5,9.433981132056603,12.91
4.6,96.2,42,48,42,47,1.0,12.84
20.4,-97.3,50,0,43,1,7.0710678118654755,12.84
25.2,64.0,52,32,52,32,0.0,12.83
14.6,120.9,47,60,47,60,0.0,12.77
5.4,100.6,42,50,42,49,1.0,12.7
-39.8,-73.2,20,0,20,0,0.0,12.56
10.8,76.2,45,38,45,37,1.0,12.47
21.8,86.8,50,43,50,43,0.0,12.17
70.4,-155.3,74,0,72,0,2.0,12.16
54.9,-3.0,67,0,67,0,0.0,12.02
48.9,-122.2,64,0,66,1,2.23606797749979,11.99
9.0,-64.1,44,0,43,1,1.4142135623730951,11.88
4.2,9.7,42,5,41,4,1.4142135623730951,11.8
42.9,124.3,61,62,59,61,2.23606797749979,11.72
9.6,-82.6,44,0,43,1,1.4142135623730951,11.67
4.6,113.8,42,57,42,56,1.0,11.67
-12.7,-38.3,33,0,33,0,0.0,11.67
